CustomerID,Recency,Monetary,Frequency,cluster,silhouette,Segment
CUST1038,341,567,2,3,0.5099585055486727,Occasional Low-Value Customers
CUST1040,831,4554,2,0,0.09842460163521723,Lost / Dormant Low-Value
CUST1041,303,125,2,3,0.5060037282944694,Occasional Low-Value Customers
CUST1043,3,345,2,3,0.4023799539237591,Occasional Low-Value Customers
CUST1044,137,2527,3,1,0.31336626966042624,Loyal Mid-Value Customers
CUST1045,502,1284,2,3,0.11290740604692671,Occasional Low-Value Customers
CUST1046,626,916,1,0,0.3418478219475589,Lost / Dormant Low-Value
CUST1047,77,435,2,3,0.4647019390138507,Occasional Low-Value Customers
CUST1048,370,50,1,3,0.3993165558180158,Occasional Low-Value Customers
CUST1049,469,223,2,3,0.22074315746552603,Occasional Low-Value Customers
CUST1050,128,1532,2,3,0.40883429702181423,Occasional Low-Value Customers
CUST1052,704,597,1,0,0.4837562290169369,Lost / Dormant Low-Value
CUST1053,898,624,2,0,0.5514858416761136,Lost / Dormant Low-Value
CUST1054,536,998,2,0,0.009845228276590724,Lost / Dormant Low-Value
CUST1055,353,812,3,1,0.139584895853067,Loyal Mid-Value Customers
CUST1056,543,1995,1,0,0.0803149266687864,Lost / Dormant Low-Value
CUST1058,631,1034,2,0,0.2992473995126133,Lost / Dormant Low-Value
CUST1059,113,4116,3,2,0.11769325344885079,High-Value / VIP Customers
CUST1060,109,4620,2,2,0.27291893627264724,High-Value / VIP Customers
CUST1061,372,245,2,3,0.4505688063839085,Occasional Low-Value Customers
CUST1063,892,240,1,0,0.5893137629921742,Lost / Dormant Low-Value
CUST1064,495,2434,4,1,0.3891103243835956,Loyal Mid-Value Customers
CUST1065,967,198,1,0,0.5859907029218311,Lost / Dormant Low-Value
CUST1066,308,5108,3,2,0.3864248327859842,High-Value / VIP Customers
CUST1067,32,1713,2,3,0.32024826388016037,Occasional Low-Value Customers
CUST1068,54,6236,3,2,0.4260599143357921,High-Value / VIP Customers
CUST1069,291,2115,2,3,0.32758464174820623,Occasional Low-Value Customers
CUST1070,57,1644,2,3,0.3480627045581188,Occasional Low-Value Customers
CUST1072,329,1953,3,1,0.27191148315323044,Loyal Mid-Value Customers
CUST1073,56,1189,3,1,0.22878875468052937,Loyal Mid-Value Customers
CUST1074,1062,387,1,0,0.5667671957059918,Lost / Dormant Low-Value
CUST1076,76,916,2,3,0.45120099083096243,Occasional Low-Value Customers
CUST1077,527,478,2,0,-0.02897223918379423,Lost / Dormant Low-Value
CUST1078,973,596,1,0,0.5959492503644375,Lost / Dormant Low-Value
CUST1079,109,4232,2,2,0.17781260896842585,High-Value / VIP Customers
CUST1080,1095,129,1,0,0.5439111956911283,Lost / Dormant Low-Value
CUST1082,235,3987,4,2,-0.02048584742639521,High-Value / VIP Customers
CUST1083,609,903,3,0,0.06877520670430781,Lost / Dormant Low-Value
CUST1084,167,5991,4,2,0.4005574359566735,High-Value / VIP Customers
CUST1085,222,985,3,1,0.212488287618004,Loyal Mid-Value Customers
CUST1086,74,1204,2,3,0.42204494634228806,Occasional Low-Value Customers
CUST1087,800,198,1,0,0.5562824461802343,Lost / Dormant Low-Value
CUST1089,314,3504,4,1,0.1928200196223478,Loyal Mid-Value Customers
CUST1090,267,75,1,3,0.5368501471669846,Occasional Low-Value Customers
CUST1091,5,2682,2,3,0.16413416579744505,Occasional Low-Value Customers
CUST1092,502,879,2,3,0.12131223199853639,Occasional Low-Value Customers
CUST1093,795,320,1,0,0.5605122053025445,Lost / Dormant Low-Value
CUST1094,50,1418,3,1,0.2510856465628064,Loyal Mid-Value Customers
CUST1095,273,680,2,3,0.5289963617274555,Occasional Low-Value Customers
CUST1096,503,2815,2,3,0.05615197368163075,Occasional Low-Value Customers
CUST1097,206,3487,4,1,0.22117680080948396,Loyal Mid-Value Customers
CUST1098,544,616,3,1,0.047391295037378316,Loyal Mid-Value Customers
CUST1099,255,1621,4,1,0.5200901253581071,Loyal Mid-Value Customers
CUST1101,176,2172,4,1,0.531054216528223,Loyal Mid-Value Customers
CUST1102,1004,999,1,0,0.5814935510789055,Lost / Dormant Low-Value
CUST1103,68,9202,6,2,0.28176113944989484,High-Value / VIP Customers
CUST1104,148,4139,3,2,0.13578484864196438,High-Value / VIP Customers
CUST1105,65,2436,4,1,0.49127958461475113,Loyal Mid-Value Customers
CUST1106,508,1523,3,1,0.15265307809943243,Loyal Mid-Value Customers
CUST1107,142,1416,3,1,0.276097946301982,Loyal Mid-Value Customers
CUST1108,49,1979,5,1,0.45799635527371063,Loyal Mid-Value Customers
CUST1109,482,2019,4,1,0.4171071238943417,Loyal Mid-Value Customers
CUST1111,7,600,1,3,0.5375813299778356,Occasional Low-Value Customers
CUST1112,206,261,2,3,0.5180469296069942,Occasional Low-Value Customers
CUST1113,11,5314,3,2,0.3421457942861539,High-Value / VIP Customers
CUST1114,329,373,2,3,0.5118517820570982,Occasional Low-Value Customers
CUST1115,121,1798,1,3,0.5202919897762277,Occasional Low-Value Customers
CUST1116,102,895,3,1,0.19941342403936707,Loyal Mid-Value Customers
CUST1117,61,4512,2,2,0.23410524475762232,High-Value / VIP Customers
CUST1118,192,1134,3,1,0.24086443109780237,Loyal Mid-Value Customers
CUST1119,546,2382,3,1,0.17751041840772913,Loyal Mid-Value Customers
CUST1120,170,59,1,3,0.586812978019818,Occasional Low-Value Customers
CUST1121,9,550,1,3,0.539581917742729,Occasional Low-Value Customers
CUST1122,73,1793,4,1,0.5082785723884623,Loyal Mid-Value Customers
CUST1123,276,2826,2,3,0.2000103943797147,Occasional Low-Value Customers
CUST1125,372,940,3,1,0.1515137734611724,Loyal Mid-Value Customers
CUST1126,671,149,1,0,0.4187163270992197,Lost / Dormant Low-Value
CUST1127,389,1554,3,1,0.216308889616145,Loyal Mid-Value Customers
CUST1128,16,1353,3,1,0.22834293280616644,Loyal Mid-Value Customers
CUST1129,168,297,1,3,0.6045073526942409,Occasional Low-Value Customers
CUST1130,398,4994,3,2,0.3572497497073296,High-Value / VIP Customers
CUST1132,238,796,1,3,0.5841622209275357,Occasional Low-Value Customers
CUST1133,57,886,2,3,0.43789592126846294,Occasional Low-Value Customers
CUST1134,199,4443,2,2,0.2518087508255617,High-Value / VIP Customers
CUST1135,816,236,1,0,0.5671558937518177,Lost / Dormant Low-Value
CUST1137,616,199,1,0,0.315849800077008,Lost / Dormant Low-Value
CUST1138,718,645,2,0,0.4489309439573909,Lost / Dormant Low-Value
CUST1139,155,1654,4,1,0.5268171259601668,Loyal Mid-Value Customers
CUST1140,8,3019,5,1,0.30596456593436094,Loyal Mid-Value Customers
CUST1141,272,1263,3,1,0.2384099282831447,Loyal Mid-Value Customers
CUST1142,347,459,2,3,0.506465256888839,Occasional Low-Value Customers
CUST1143,191,1197,1,3,0.589417843604535,Occasional Low-Value Customers
CUST1144,337,696,3,1,0.12621740113931934,Loyal Mid-Value Customers
CUST1145,295,1079,2,3,0.49873197653995915,Occasional Low-Value Customers
CUST1148,373,1586,4,1,0.47235001016495654,Loyal Mid-Value Customers
CUST1149,265,1105,2,3,0.5015488269992017,Occasional Low-Value Customers
CUST1150,690,975,2,0,0.4099630279145382,Lost / Dormant Low-Value
CUST1151,276,350,2,3,0.5247311685841731,Occasional Low-Value Customers
CUST1152,754,1682,2,0,0.44534867785229737,Lost / Dormant Low-Value
CUST1153,402,600,2,3,0.4123070376473693,Occasional Low-Value Customers
CUST1154,554,354,2,0,0.07106110795482228,Lost / Dormant Low-Value
CUST1155,503,827,2,3,0.11813599788196298,Occasional Low-Value Customers
CUST1156,79,549,2,3,0.46710547902246663,Occasional Low-Value Customers
CUST1157,110,687,1,3,0.6026357053862637,Occasional Low-Value Customers
CUST1158,604,387,1,0,0.29514262402314756,Lost / Dormant Low-Value
CUST1159,556,59,1,0,0.1460699227924668,Lost / Dormant Low-Value
CUST1160,58,5144,6,2,0.08366019247054025,High-Value / VIP Customers
CUST1163,18,1863,4,1,0.4822024377864048,Loyal Mid-Value Customers
CUST1164,2,7286,5,2,0.3260033424973775,High-Value / VIP Customers
CUST1165,556,5679,4,2,0.325498378845898,High-Value / VIP Customers
CUST1166,52,1714,2,3,0.3336750936256205,Occasional Low-Value Customers
CUST1168,26,1118,3,1,0.20715518952438233,Loyal Mid-Value Customers
CUST1170,797,1995,1,0,0.47499811042404394,Lost / Dormant Low-Value
CUST1171,74,387,1,3,0.5839699595096598,Occasional Low-Value Customers
CUST1172,542,455,2,0,0.029226434630963877,Lost / Dormant Low-Value
CUST1173,418,295,1,3,0.311906017416678,Occasional Low-Value Customers
CUST1174,439,2314,2,3,0.2231645654558001,Occasional Low-Value Customers
CUST1175,263,625,2,3,0.5310429208952375,Occasional Low-Value Customers
CUST1176,704,3077,2,0,0.26770657426748506,Lost / Dormant Low-Value
CUST1177,251,440,1,3,0.5734328366148744,Occasional Low-Value Customers
CUST1178,15,1174,3,1,0.20863893868177272,Loyal Mid-Value Customers
CUST1179,1,2595,2,3,0.17412807885094803,Occasional Low-Value Customers
CUST1180,296,1314,4,1,0.4917289447625409,Loyal Mid-Value Customers
CUST1182,226,1372,4,1,0.5125673024560824,Loyal Mid-Value Customers
CUST1183,284,3993,2,2,0.12223885215240574,High-Value / VIP Customers
CUST1184,43,4037,4,2,-0.03243014024940882,High-Value / VIP Customers
CUST1185,305,2295,2,3,0.292196998200201,Occasional Low-Value Customers
CUST1186,23,1799,4,1,0.48405711784330807,Loyal Mid-Value Customers
CUST1187,46,5474,3,2,0.3766893191053442,High-Value / VIP Customers
CUST1188,234,4403,3,2,0.2384626972284759,High-Value / VIP Customers
CUST1189,277,908,3,1,0.1842727353010065,Loyal Mid-Value Customers
CUST1190,212,744,3,1,0.1716908385597596,Loyal Mid-Value Customers
CUST1192,11,5607,5,2,0.22205681064854263,High-Value / VIP Customers
CUST1193,58,3001,4,1,0.36628975925962876,Loyal Mid-Value Customers
CUST1194,56,799,4,1,0.43329890205081156,Loyal Mid-Value Customers
CUST1195,712,5490,2,2,0.20137739729360166,High-Value / VIP Customers
CUST1196,767,4825,2,2,0.02675272329748584,High-Value / VIP Customers
CUST1197,186,796,1,3,0.6082108761069827,Occasional Low-Value Customers
CUST1198,754,330,1,0,0.5313795566000031,Lost / Dormant Low-Value
CUST1199,175,1225,2,3,0.475442647745748,Occasional Low-Value Customers
CUST1200,209,4512,2,2,0.2694492944399557,High-Value / VIP Customers
CUST1201,620,1998,1,0,0.25813094598292685,Lost / Dormant Low-Value
CUST1202,779,50,1,0,0.5308500171763587,Lost / Dormant Low-Value
CUST1203,471,796,1,3,0.15923931998412796,Occasional Low-Value Customers
CUST1204,131,3389,4,1,0.26079593633427284,Loyal Mid-Value Customers
CUST1205,175,1343,3,1,0.26912021214768383,Loyal Mid-Value Customers
CUST1206,130,1947,3,1,0.3086338487301723,Loyal Mid-Value Customers
CUST1207,798,1596,1,0,0.5149505822676131,Lost / Dormant Low-Value
CUST1208,52,1300,4,1,0.4772796297488287,Loyal Mid-Value Customers
CUST1209,172,4117,4,2,0.023297180186309163,High-Value / VIP Customers
CUST1210,623,249,2,0,0.2653717574883803,Lost / Dormant Low-Value
CUST1214,221,815,2,3,0.5246638784014773,Occasional Low-Value Customers
CUST1215,201,1718,3,1,0.29881904228299627,Loyal Mid-Value Customers
CUST1216,409,2128,2,3,0.2959608324555697,Occasional Low-Value Customers
CUST1217,318,916,1,3,0.5037222663100118,Occasional Low-Value Customers
CUST1218,125,6307,3,2,0.4508293556072963,High-Value / VIP Customers
CUST1220,228,340,2,3,0.5253978536708537,Occasional Low-Value Customers
CUST1222,347,4096,2,2,0.15706214668639604,High-Value / VIP Customers
CUST1223,86,1235,3,1,0.2447225955254153,Loyal Mid-Value Customers
CUST1224,470,1154,3,1,0.13521728678619013,Loyal Mid-Value Customers
CUST1225,117,991,2,3,0.473664203426487,Occasional Low-Value Customers
CUST1227,597,118,1,0,0.2650399821425165,Lost / Dormant Low-Value
CUST1229,931,80,1,0,0.5806962055066754,Lost / Dormant Low-Value
CUST1230,306,516,1,3,0.5230329152975647,Occasional Low-Value Customers
CUST1231,283,472,2,3,0.5276514853238924,Occasional Low-Value Customers
CUST1232,26,2416,4,1,0.4785169846019639,Loyal Mid-Value Customers
CUST1233,201,576,2,3,0.5271529332832439,Occasional Low-Value Customers
CUST1234,90,1834,6,1,0.3604090341440024,Loyal Mid-Value Customers
CUST1235,267,597,1,3,0.5640202405930281,Occasional Low-Value Customers
CUST1236,320,4595,2,2,0.2893803999206937,High-Value / VIP Customers
CUST1237,89,426,2,3,0.4730482093712243,Occasional Low-Value Customers
CUST1238,1073,295,1,0,0.5596334905581948,Lost / Dormant Low-Value
CUST1239,941,495,1,0,0.5993355668114274,Lost / Dormant Low-Value
CUST1240,326,3358,3,1,0.15744097372902216,Loyal Mid-Value Customers
CUST1241,78,1710,4,1,0.5085290079478318,Loyal Mid-Value Customers
CUST1242,582,1997,2,0,0.1403085775682506,Lost / Dormant Low-Value
CUST1243,409,1315,2,3,0.3775878329883879,Occasional Low-Value Customers
CUST1244,170,5778,9,2,0.027639045115260684,High-Value / VIP Customers
CUST1245,1074,236,1,0,0.5570747137356761,Lost / Dormant Low-Value
CUST1246,134,1314,2,3,0.4457821637192972,Occasional Low-Value Customers
CUST1247,307,645,1,3,0.5231401021525185,Occasional Low-Value Customers
CUST1248,344,658,3,1,0.11724087084365155,Loyal Mid-Value Customers
CUST1249,366,975,2,3,0.4790651364679954,Occasional Low-Value Customers
CUST1250,207,50,1,3,0.5731497024543,Occasional Low-Value Customers
CUST1252,827,1192,3,0,0.342404669476772,Lost / Dormant Low-Value
CUST1253,166,2691,4,1,0.460451076091022,Loyal Mid-Value Customers
CUST1254,365,6121,3,2,0.45697027002827134,High-Value / VIP Customers
CUST1255,337,236,2,3,0.502390825097577,Occasional Low-Value Customers
CUST1256,584,118,1,0,0.23117067299556626,Lost / Dormant Low-Value
CUST1257,26,2688,5,1,0.36567660279095093,Loyal Mid-Value Customers
CUST1258,65,2093,2,3,0.2788052420059035,Occasional Low-Value Customers
CUST1259,92,7860,5,2,0.3502428413252239,High-Value / VIP Customers
CUST1260,167,631,3,1,0.15504978485484625,Loyal Mid-Value Customers
CUST1261,124,1679,5,1,0.4948897688148268,Loyal Mid-Value Customers
CUST1263,749,198,1,0,0.5192180922650037,Lost / Dormant Low-Value
CUST1265,231,198,1,3,0.5735107576724968,Occasional Low-Value Customers
CUST1266,758,50,1,0,0.51466431457637,Lost / Dormant Low-Value
CUST1267,51,1242,2,3,0.3997279913168181,Occasional Low-Value Customers
CUST1268,23,2654,4,1,0.43333078997357494,Loyal Mid-Value Customers
CUST1269,58,973,2,3,0.4324276959449542,Occasional Low-Value Customers
CUST1271,250,494,2,3,0.5312342865150733,Occasional Low-Value Customers
CUST1272,142,3280,5,1,0.2677420666619815,Loyal Mid-Value Customers
CUST1274,156,2658,3,1,0.3124862880136932,Loyal Mid-Value Customers
CUST1275,480,457,3,1,0.044780466898540545,Loyal Mid-Value Customers
CUST1276,195,512,2,3,0.5252591062028609,Occasional Low-Value Customers
CUST1277,1009,916,1,0,0.582904878045075,Lost / Dormant Low-Value
CUST1278,290,1943,3,1,0.2870978544533338,Loyal Mid-Value Customers
CUST1279,319,6110,3,2,0.4626104296945253,High-Value / VIP Customers
CUST1280,207,678,4,1,0.44464162886228603,Loyal Mid-Value Customers
CUST1281,951,2172,2,0,0.4852005466760405,Lost / Dormant Low-Value
CUST1282,17,2918,5,1,0.32589413168759723,Loyal Mid-Value Customers
CUST1283,453,5095,2,2,0.35065061771435274,High-Value / VIP Customers
CUST1284,1052,177,1,0,0.5629402589536372,Lost / Dormant Low-Value
CUST1285,16,2842,6,1,0.2599149078162828,Loyal Mid-Value Customers
CUST1286,465,4995,1,2,0.14210242721091573,High-Value / VIP Customers
CUST1287,755,358,2,0,0.47707226257837887,Lost / Dormant Low-Value
CUST1288,594,229,1,0,0.26389302909067297,Lost / Dormant Low-Value
CUST1289,26,879,2,3,0.41102683062899836,Occasional Low-Value Customers
CUST1290,568,125,1,0,0.18616107121058786,Lost / Dormant Low-Value
CUST1291,240,2022,3,1,0.3051739231316408,Loyal Mid-Value Customers
CUST1292,338,1649,6,1,0.3589841969349605,Loyal Mid-Value Customers
CUST1293,263,258,1,3,0.5550687380559834,Occasional Low-Value Customers
CUST1294,760,846,2,0,0.4935086654062377,Lost / Dormant Low-Value
CUST1295,304,1174,2,3,0.48552495679684116,Occasional Low-Value Customers
CUST1296,785,568,2,0,0.5097759243587248,Lost / Dormant Low-Value
CUST1297,168,387,1,3,0.6087144871737926,Occasional Low-Value Customers
CUST1299,809,3613,2,0,0.30463777932792024,Lost / Dormant Low-Value
CUST1300,53,2093,2,3,0.27264690190453084,Occasional Low-Value Customers
CUST1301,29,1098,3,1,0.20598639854840042,Loyal Mid-Value Customers
CUST1302,258,995,2,3,0.513121952215473,Occasional Low-Value Customers
CUST1303,760,999,1,0,0.5317780638010381,Lost / Dormant Low-Value
CUST1304,577,745,1,0,0.22142660884239557,Lost / Dormant Low-Value
CUST1305,54,801,4,1,0.43273171407599614,Loyal Mid-Value Customers
CUST1306,461,576,2,3,0.257975967221759,Occasional Low-Value Customers
CUST1307,115,1433,2,3,0.4178733054044464,Occasional Low-Value Customers
CUST1308,40,80,1,3,0.5520009656034011,Occasional Low-Value Customers
CUST1309,95,1393,2,3,0.41174710371866946,Occasional Low-Value Customers
CUST1310,1030,596,1,0,0.5811635821832455,Lost / Dormant Low-Value
CUST1311,697,455,2,0,0.41472151080803704,Lost / Dormant Low-Value
CUST1315,1095,645,1,0,0.5557539829353315,Lost / Dormant Low-Value
CUST1316,428,3596,1,3,0.11914759328884386,Occasional Low-Value Customers
CUST1317,462,755,2,3,0.2567704013126467,Occasional Low-Value Customers
CUST1318,221,993,2,3,0.5122609510471203,Occasional Low-Value Customers
CUST1319,330,307,3,1,0.060548809568419286,Loyal Mid-Value Customers
CUST1320,333,797,2,3,0.5073104480334826,Occasional Low-Value Customers
CUST1321,353,621,2,3,0.5036631862231934,Occasional Low-Value Customers
CUST1322,45,853,3,1,0.17742359901221566,Loyal Mid-Value Customers
CUST1323,22,5994,4,2,0.3577217484218737,High-Value / VIP Customers
CUST1324,16,2364,3,1,0.2778041306946198,Loyal Mid-Value Customers
CUST1325,388,798,1,3,0.3872897996912881,Occasional Low-Value Customers
CUST1328,680,129,1,0,0.4312428816307276,Lost / Dormant Low-Value
CUST1332,480,3307,5,1,0.1956041245754911,Loyal Mid-Value Customers
CUST1333,302,1223,4,1,0.48289317324261305,Loyal Mid-Value Customers
CUST1334,548,593,2,0,0.05349228772733534,Lost / Dormant Low-Value
CUST1335,760,2697,1,0,0.3736197683260409,Lost / Dormant Low-Value
CUST1336,333,387,1,3,0.48320359760145554,Occasional Low-Value Customers
CUST1337,670,1770,4,1,0.20840589751256508,Loyal Mid-Value Customers
CUST1338,154,1848,2,3,0.36322479768777494,Occasional Low-Value Customers
CUST1339,344,1524,3,1,0.23622766380264076,Loyal Mid-Value Customers
CUST1340,435,2727,5,1,0.31697165497477037,Loyal Mid-Value Customers
CUST1341,52,1346,2,3,0.3875686939722434,Occasional Low-Value Customers
CUST1342,6,5685,4,2,0.3242610076741681,High-Value / VIP Customers
CUST1343,257,3251,3,1,0.21852342061650568,Loyal Mid-Value Customers
CUST1344,50,645,1,3,0.5682828178900948,Occasional Low-Value Customers
CUST1345,357,25,1,3,0.41978803607168774,Occasional Low-Value Customers
CUST1346,49,327,3,1,0.09282398869306387,Loyal Mid-Value Customers
CUST1347,40,995,1,3,0.5486272873709053,Occasional Low-Value Customers
CUST1348,437,5995,3,2,0.43661234163461066,High-Value / VIP Customers
CUST1349,412,2760,3,1,0.24682220570656058,Loyal Mid-Value Customers
CUST1350,494,697,2,3,0.15106364068052786,Occasional Low-Value Customers
CUST1351,158,2659,4,1,0.4672382790131358,Loyal Mid-Value Customers
CUST1353,869,507,2,0,0.5441982294067226,Lost / Dormant Low-Value
CUST1354,154,1488,3,1,0.28377899531642675,Loyal Mid-Value Customers
CUST1355,551,3547,2,2,-0.07141853553777545,High-Value / VIP Customers
CUST1356,702,160,1,0,0.4648249337369052,Lost / Dormant Low-Value
CUST1357,74,1912,6,1,0.35364918278188073,Loyal Mid-Value Customers
CUST1358,136,7871,5,2,0.35577788948438244,High-Value / VIP Customers
CUST1359,99,5836,6,2,0.16753492658608524,High-Value / VIP Customers
CUST1360,178,4895,2,2,0.33647954932025176,High-Value / VIP Customers
CUST1362,952,1798,1,0,0.5387589698268546,Lost / Dormant Low-Value
CUST1363,50,1554,3,1,0.2627177575673425,Loyal Mid-Value Customers
CUST1364,993,297,1,0,0.585991993913765,Lost / Dormant Low-Value
CUST1366,502,1047,2,3,0.11869312266217576,Occasional Low-Value Customers
CUST1368,387,25,1,3,0.3642562572128239,Occasional Low-Value Customers
CUST1369,280,1197,1,3,0.5316857546486319,Occasional Low-Value Customers
CUST1370,479,645,1,3,0.13176063337387026,Occasional Low-Value Customers
CUST1371,878,668,2,0,0.5496248601203944,Lost / Dormant Low-Value
CUST1372,694,1998,1,0,0.37677129106815527,Lost / Dormant Low-Value
CUST1373,180,687,1,3,0.6111832503707988,Occasional Low-Value Customers
CUST1374,367,177,1,3,0.4153032492617384,Occasional Low-Value Customers
CUST1375,594,1641,4,1,0.3126741692221373,Loyal Mid-Value Customers
CUST1376,37,1182,4,1,0.46136054963788464,Loyal Mid-Value Customers
CUST1377,680,440,2,0,0.38794685036604937,Lost / Dormant Low-Value
CUST1378,467,1998,1,3,0.13135469194696844,Occasional Low-Value Customers
CUST1379,903,600,1,0,0.6004237910014332,Lost / Dormant Low-Value
CUST1380,45,3996,1,3,0.12120495034647727,Occasional Low-Value Customers
CUST1381,213,597,1,3,0.5991433104934448,Occasional Low-Value Customers
CUST1382,720,1145,1,0,0.48355131523934847,Lost / Dormant Low-Value
CUST1383,85,680,2,3,0.46956137140327314,Occasional Low-Value Customers
CUST1384,146,1553,3,1,0.28887205851468933,Loyal Mid-Value Customers
CUST1385,244,5751,3,2,0.44902056448374583,High-Value / VIP Customers
CUST1386,361,965,3,1,0.15998128117767568,Loyal Mid-Value Customers
CUST1387,285,1053,4,1,0.4735857481034996,Loyal Mid-Value Customers
CUST1388,211,2529,3,1,0.31376327061143167,Loyal Mid-Value Customers
CUST1389,428,636,2,3,0.35131447141902467,Occasional Low-Value Customers
CUST1390,92,1596,1,3,0.530360800071247,Occasional Low-Value Customers
CUST1391,917,287,2,0,0.5410762082472735,Lost / Dormant Low-Value
CUST1392,287,1190,3,1,0.2234814336775022,Loyal Mid-Value Customers
CUST1393,918,199,1,0,0.5888643351920789,Lost / Dormant Low-Value
CUST1394,1082,687,1,0,0.561272435755147,Lost / Dormant Low-Value
CUST1395,779,2592,2,0,0.3804534383137293,Lost / Dormant Low-Value
CUST1396,847,999,1,0,0.580734024696818,Lost / Dormant Low-Value
CUST1397,294,4284,4,2,0.1017549883372813,High-Value / VIP Customers
CUST1399,15,3077,2,3,0.11835350816609473,Occasional Low-Value Customers
CUST1400,52,4592,3,2,0.23734308209644706,High-Value / VIP Customers
CUST1401,266,1635,3,1,0.2775310186432383,Loyal Mid-Value Customers
CUST1402,159,1427,6,1,0.3866475174912387,Loyal Mid-Value Customers
CUST1403,1057,597,1,0,0.5715338654127952,Lost / Dormant Low-Value
CUST1404,227,597,1,3,0.5920662073540137,Occasional Low-Value Customers
CUST1405,481,1256,2,3,0.1843920056089675,Occasional Low-Value Customers
CUST1406,377,1179,4,1,0.44637920807303455,Loyal Mid-Value Customers
CUST1407,159,5741,3,2,0.4370970626235737,High-Value / VIP Customers
CUST1409,663,240,1,0,0.4117034194946871,Lost / Dormant Low-Value
CUST1410,581,25,1,0,0.21671642782832187,Lost / Dormant Low-Value
CUST1411,300,644,2,3,0.5241358761398224,Occasional Low-Value Customers
CUST1412,304,2488,3,1,0.2917214762960641,Loyal Mid-Value Customers
CUST1413,452,965,3,1,0.12055952022257684,Loyal Mid-Value Customers
CUST1414,66,5394,2,2,0.3546164911924045,High-Value / VIP Customers
CUST1416,273,59,1,3,0.5299898346712751,Occasional Low-Value Customers
CUST1418,330,1176,2,3,0.4761105283925678,Occasional Low-Value Customers
CUST1420,438,297,1,3,0.25829896629233007,Occasional Low-Value Customers
CUST1421,502,398,1,0,-0.04508862185227455,Lost / Dormant Low-Value
CUST1422,863,1995,1,0,0.5067563473580347,Lost / Dormant Low-Value
CUST1423,309,1334,3,1,0.2324614742568755,Loyal Mid-Value Customers
CUST1424,970,320,1,0,0.5913048969102979,Lost / Dormant Low-Value
CUST1425,1014,4554,2,0,0.2075023556056176,Lost / Dormant Low-Value
CUST1426,599,25,1,0,0.2630497783532815,Lost / Dormant Low-Value
CUST1428,584,4495,1,0,0.04371179421471674,Lost / Dormant Low-Value
CUST1429,309,792,3,1,0.15290853744093832,Loyal Mid-Value Customers
CUST1430,212,867,2,3,0.5204225210785246,Occasional Low-Value Customers
CUST1431,1027,129,1,0,0.5686604143567067,Lost / Dormant Low-Value
